[1012/182918:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172058:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172204:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172446:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172651:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172735:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184817:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/093732:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/094338:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/094740:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100618:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100727:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/102850:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/105303:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/111800:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/111837:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/113935:ERROR:file_io.cc(30)] read: expected 4, observed 0
